term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post12,-0.028383697523178136,0.01818032548956567,-1.5612315378769506,0.11847408463469485,4380,63872,10023,lejob,cognitive,-0.005081157616592939,-0.05168623742976333
post24,-0.007395848467671238,0.010101237103157728,-0.7321725440301996,0.4640659466374324,22458,63872,10023,lejob,cognitive,0.005549788564040333,-0.02034148549938281
post36,-0.02096553793203973,0.010788188272282952,-1.9433789439793572,0.05197477630512156,19763,63872,10023,lejob,cognitive,-0.007139456191092386,-0.03479161967298707
post48,-0.014927221343722175,0.011775993973683995,-1.2675975698595192,0.20494632131117102,17332,63872,10023,lejob,cognitive,1.648974252865306e-4,-0.03001934011273088
pre24,-0.023133341522905013,0.02199065886056764,-1.0519621840156124,0.29282930192291395,4792,20496,3870,lefrd,cognitive,0.005052708132781955,-0.05131939117859198
pre12,-0.036167401526730994,0.02166867158144111,-1.6691102355212133,0.0951108076781923,5455,20496,3870,lefrd,cognitive,-0.008394517652012132,-0.06394028540144986
post03,-0.11988166639617859,0.031855230565856305,-3.763327537320433,1.6813466406154638e-4,1954,20496,3870,lefrd,cognitive,-0.07904373244663365,-0.16071960034572352
post06,-0.0597284554868354,0.03719680903832937,-1.6057413802696985,0.10834615086629704,1393,20496,3870,lefrd,cognitive,-0.012036193360290985,-0.10742071761337982
post09,-0.03069639716822996,0.0388732397395251,-0.7896536891165987,0.42973917913015136,1155,20496,3870,lefrd,cognitive,0.019150198506675816,-0.08054299284313574
post12,-0.022052238492687316,0.03725774947084997,-0.5918832673975848,0.5539352877084315,1304,20496,3870,lefrd,cognitive,0.025719708296425774,-0.0698241852818004
