term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post36,-0.032234203858809374,0.11217377029693469,-0.28735954736550584,0.7738967465379214,243,997,208,lejls,losat,0.11191577833686328,-0.17638418605448203
post48,-0.058400920627072125,0.12244816243682982,-0.47694403464160406,0.6335064953176095,210,997,208,lejls,losat,0.09902031146885605,-0.21582215272300032
pre24,0.005091942640468945,0.017663987057613028,0.28826689149290113,0.7731449656234864,5376,23737,3694,lepcm,losat,0.02773203540812808,-0.01754815012719019
pre12,-0.004479163727128927,0.01738389742830146,-0.25766165185930784,0.7966702779254549,5753,23737,3694,lepcm,losat,0.01780175611572556,-0.026760083569983415
post03,-0.06870670334223923,0.024766366397103133,-2.7741939306153407,0.005538191033467929,2269,23737,3694,lepcm,losat,-0.03695808033053037,-0.10045532635394809
post06,-0.05909660500744809,0.02945046778902833,-2.0066440177043408,0.04479890068436337,1453,23737,3694,lepcm,losat,-0.021337132911752717,-0.09685607710314345
post09,-0.04708895155815032,0.03383629760728134,-1.391669741905128,0.16403546951133047,1033,23737,3694,lepcm,losat,-0.0036982161739348013,-0.09047968694236584
post12,-0.023056675966185984,0.03648331059938257,-0.6319787208833013,0.5274068684438106,961,23737,3694,lepcm,losat,0.023730763599803154,-0.06984411553217512
post24,-0.01669476209050212,0.01872688986720145,-0.8914861041470412,0.37267747938812545,5813,23737,3694,lepcm,losat,0.007307441040395688,-0.04069696522139993
post36,-0.019679925757036663,0.02051667726430978,-0.9592160320848491,0.33745969554653943,5254,23737,3694,lepcm,losat,0.006616561047109733,-0.04597641256118306
post48,-0.004387110913135429,0.02307516094528436,-0.1901226571523428,0.8492146418065137,4643,23737,3694,lepcm,losat,0.025189106665455957,-0.03396332849172681
pre24,0.007234417198967418,0.011458807599286936,0.6313411876657746,0.5278204795968608,13164,47816,6719,leins,losat,0.021920207033666372,-0.0074513726357315355
pre12,-0.0339087642069489,0.011354770156254806,-2.986301240828743,0.00282517354133348,14092,47816,6719,leins,losat,-0.019356358511587003,-0.04846116990231081
post03,-0.1487159438365891,0.017108703144347155,-8.692414765857105,3.6584202781307786e-18,4565,47816,6719,leins,losat,-0.1267870845437069,-0.17064480312947128
post06,-0.13471831073034343,0.01966857216837012,-6.849419956726181,7.50441240983426e-12,3299,47816,6719,leins,losat,-0.10950697139154912,-0.15992965006913773
post09,-0.15872001784550568,0.021997298159533746,-7.2154323996702106,5.455905957458534e-13,2516,47816,6719,leins,losat,-0.13052193936225878,-0.1869180963287526
post12,-0.14193557199233742,0.019282285886360696,-7.360930795696551,1.8555924945512382e-13,3582,47816,6719,leins,losat,-0.11721976894065261,-0.16665137504402222
