term,estimate,std.error,statistic,p.value,df,n,N,code,outcome,upper,lower
post06,0.010561916173414175,0.022890510469959793,0.46141025064840885,0.644507317266855,33246,2757,5669,leprm,cognitive,0.039904318902560666,-0.018780486555732313
post09,0.013456950494758842,0.026634613037970187,0.5052429511769018,0.6133915555779301,33246,1956,5669,leprm,cognitive,0.047602118248483136,-0.020688217258965455
post12,0.015122989526967478,0.029630658523867048,0.5103831733873258,0.6097864314963083,33246,1670,5669,leprm,cognitive,0.053111242297351015,-0.022865263243416055
post24,-0.01660162908092718,0.013957030771288768,-1.1894814415024906,0.23425876449358438,33246,10191,5669,leprm,cognitive,0.0012861851806348149,-0.03448944334248918
post36,-0.011093263437459935,0.015097185513489764,-0.7347901651965387,0.4624724803222131,33246,9025,5669,leprm,cognitive,0.008255974737975128,-0.030442501612895
post48,-0.020023544706602395,0.01704217602083795,-1.17494061099469,0.2400268915891751,33246,7990,5669,leprm,cognitive,0.0018186887446290795,-0.04186577815783387
pre24,-0.038986162770792525,0.010141408068928817,-3.844255403767657,1.2103572238567658e-4,64085,19399,10023,lejob,cognitive,-0.025988982767493438,-0.05198334277409161
pre12,-0.09706960201524584,0.009633599987859499,-10.076150363060055,7.337635797119256e-24,64085,22235,10023,lejob,cognitive,-0.08472328004760299,-0.10941592398288869
post03,0.027421354285327902,0.014136588258583634,1.9397434362338348,0.052415259955321286,64085,7925,10023,lejob,cognitive,0.045539631553742056,0.009303077016913748
post06,-0.0065016759256290805,0.015012018733660993,-0.4330980423739127,0.6649450025103073,64085,6582,10023,lejob,cognitive,0.01273893153970477,-0.025742283390962933
post09,-0.010529114746132977,0.015941059697514047,-0.6605028113516792,0.5089335890579165,64085,5459,10023,lejob,cognitive,0.009902648172551962,-0.030960877664817917
post12,-0.04355874832764236,0.017903869237409272,-2.4329237300632456,0.014980171829482733,64085,4380,10023,lejob,cognitive,-0.02061055481887038,-0.06650694183641434
post24,-0.027689982176394273,0.009583846186997097,-2.8892348266150925,0.0038630997618892267,64085,22458,10023,lejob,cognitive,-0.015407427788493371,-0.039972536564295176
post36,-0.028202717540911523,0.010276674289144937,-2.744342843550227,0.006064905081947912,64085,19763,10023,lejob,cognitive,-0.01503218925935956,-0.04137324582246349
post48,-0.020957190907542916,0.011402636876184438,-1.8379249585079862,0.06607808981328209,64085,17332,10023,lejob,cognitive,-0.006343566749800805,-0.035570815065285026
pre24,-0.03014999851812915,0.020183342895058787,-1.4938059901618361,0.13524157085470662,20709,4792,3870,lefrd,cognitive,-0.004280436870843469,-0.05601956016541483
pre12,-0.06863148987643103,0.01931385332450442,-3.5534850929697672,3.8100825747578723e-4,20709,5455,3870,lefrd,cognitive,-0.043876792591977576,-0.09338618716088448
post03,-0.13663623822449847,0.029632528377144796,-4.611021931219487,4.030886481664889e-6,20709,1954,3870,lefrd,cognitive,-0.0986477755724365,-0.17462470087656046
post06,-0.09519697903570244,0.034640170641219284,-2.7481671502629657,0.005998132301660975,20709,1393,3870,lefrd,cognitive,-0.05078273649605642,-0.13961122157534847
post09,-0.06713257737371428,0.03644260355408487,-1.8421454788234897,0.06546816089044646,20709,1155,3870,lefrd,cognitive,-0.020402751486463824,-0.11386240326096474
post12,-0.0706639461193985,0.035208327790444256,-2.007023637702473,0.04476011767165159,20709,1304,3870,lefrd,cognitive,-0.025519771132267062,-0.11580812110652994
post24,-0.061362863510864125,0.020941265890881213,-2.9302365879220478,0.003390737680671978,20709,5436,3870,lefrd,cognitive,-0.034522289095206674,-0.08820343792652158
post36,-0.03155955560697697,0.022292718796579264,-1.4156889473624756,0.15688163444742595,20709,4700,3870,lefrd,cognitive,-0.0029862700389983315,-0.06013284117495561
post48,-0.03165411537161085,0.026040817981324054,-1.2155576447065732,0.2241673340566572,20709,4070,3870,lefrd,cognitive,0.001723954558230531,-0.06503218530145223
pre24,-0.015481986800141258,0.02083184888870117,-0.7431883210586466,0.45737621978537046,20428,4447,3796,lefni,cognitive,0.011219069053063937,-0.04218304265334645
pre12,-0.026179591144706152,0.020316450416889596,-1.2885908024042612,0.19755497604164834,20428,5091,3796,lefni,cognitive,-1.3963276314957196e-4,-0.05221954952626273
post03,0.19135547759116012,0.030225575095185243,6.330912711786315,2.487887960529852e-10,20428,1709,3796,lefni,cognitive,0.23010609815449087,0.15260485702782936
post06,0.19188711964046992,0.0323752147586582,5.926975962040622,3.135202502840861e-9,20428,1371,3796,lefni,cognitive,0.2333976427548431,0.15037659652609675
post09,0.19006156082136783,0.03634827433717538,5.228901902145639,1.7219908439516565e-7,20428,1046,3796,lefni,cognitive,0.23667321450328926,0.1434499071394464
post12,0.09253709921798012,0.03729673725350238,2.4811044083833456,0.013105585327621107,20428,1055,3796,lefni,cognitive,0.14036476757246497,0.04470943086349526
post24,0.08966526869749208,0.022277334121257743,4.024955060126814,5.719162790812887e-5,20428,5116,3796,lefni,cognitive,0.11821850872932808,0.061112028665656085
post36,0.08261959700257454,0.02362383024578157,3.4972989622344435,4.7099325421944097e-4,20428,4553,3796,lefni,cognitive,0.11289914786886444,0.05234004613628464
post48,0.05421499520720463,0.027667454881958656,1.9595223137982614,0.05006522766189586,20428,4034,3796,lefni,cognitive,0.08967807409416192,0.018751916320247343
pre24,-0.014151212761499719,0.01956984359703914,-0.7231132273147424,0.4696193966415152,18640,4436,3375,lefnw,cognitive,0.01093228713861656,-0.039234712661615996
